MTU,BE,BG,CH,CZ,DK,EE,ES,FI,FR,HU,IE,IT,LT,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
2023-12-15 01:00:00,80.26774951465966,238.31534641626504,26.29170212721429,387.2235983286248,294.9476655793248,171.67507914833436,89.17020301858128,147.8813466300581,37.08372889161348,170.44567763960077,747.4544189189188,101.71510549128354,744.3474748947121,108.14509404547522,204.71828973782183,409.8751932981562,299.36760880799983,16.69071333989972,495.6205987321069,181.16125870429985,192.26702039533996,302.204969997101,9.256886772882153,96.8929802702058,81.01446935087684
2023-12-15 02:00:00,190.0593465016832,237.41819117994328,26.340757428068937,416.291398457829,278.9542639345618,175.89524594844892,91.3123388398133,151.3833094902829,44.86571874107641,166.37283534980065,758.9099590163934,109.82781274697145,705.5068534824645,112.1958338911646,207.636629755355,427.2859504655391,298.0266739423927,16.593786200491945,501.94546657998166,171.57587985845134,194.40798097574896,307.8678179636599,9.287007115052043,97.85070551384446,81.02387141372837
2023-12-15 03:00:00,207.4293899627003,241.9734286548288,26.42946899015473,421.8927419320793,287.2932011126604,193.58567903084676,107.59641492673788,151.87658566532767,45.52343788040601,165.26299073046854,750.9195205479452,107.09475755837046,717.7620234221565,108.70827006747,213.2968483223197,441.1701873865781,300.9671525889908,16.339563154739636,508.64071800654585,230.6550993260295,192.5620023794762,308.16832735613764,9.191983225885531,96.12309454810702,81.51738271067818
2023-12-15 04:00:00,192.4843599838869,241.64842332498603,26.529099459376795,420.9258589043373,304.3716613062413,176.90916247653172,114.28433259526592,152.58754354627305,52.33641139078955,174.5744794847339,748.6509944751382,107.0636261261618,634.0220736998111,104.47668761411524,212.5219195737098,426.876101183158,309.038319978434,16.271838793745644,514.5271496674583,322.15906221356926,196.19983293070453,307.65337870053366,8.764674994028455,96.32804512312264,136.00541841682994
2023-12-15 05:00:00,107.37512919509972,249.63577543230755,25.979417312994087,421.0534155014768,284.34628161489667,177.80861934034562,106.20357167652908,150.71706962851292,57.58375309363248,173.1570482639316,739.5264315352696,103.77204728514803,199.5375437797765,100.6682572084781,214.2226706054771,404.1652143427701,277.230528732628,16.131953372502092,517.9126122829038,305.5734228645506,195.54156734844216,305.9447793761928,8.536838557584273,109.5456456817598,83.41057619766634
2023-12-15 06:00:00,75.42658275193675,252.20096057778423,23.452462789530117,342.82100784062607,307.3653871190997,164.86671568513043,89.66894357885982,149.11891142809102,53.19363929749647,166.48856508882815,737.8248467966572,94.15777691098384,155.75058314198748,105.291688890838,195.8264199172792,320.31006294607937,261.22483936072445,16.042569865267396,515.1273726427514,247.82940625872163,183.9554412779872,287.3995154461348,8.417984869749775,129.77601248253148,79.44043007461278
2023-12-15 07:00:00,74.48848555354365,248.82283857801409,19.169383061622263,325.218296616669,313.6024537713093,164.535910635941,77.83508113214862,148.86091303377358,36.043131681882336,165.87968953381363,615.7661375661376,81.77936487012565,155.1941791696967,81.63113037170737,180.98623159686835,289.60360704844226,251.9040763431624,15.950294033414057,505.8109965282537,114.11377937058607,175.920731100821,289.55162727724985,8.319016500867502,141.15069253942474,76.99708545688618
2023-12-15 08:00:00,68.12283225089553,250.1097964818714,17.77793120904945,307.4922562448816,305.59623006849466,162.99592567738196,76.02985403256353,150.4509673551677,37.5894104558903,181.44026296998757,5.13,80.13990754896487,166.53315395120237,80.44485676427095,179.1021456590835,282.6217902007287,252.93137822858756,15.859094091584556,509.3942879421196,99.48204793752473,180.06568509910633,285.88965972452377,8.314648443918719,138.43426033985284,70.55157512478704
2023-12-15 09:00:00,73.6919563963619,245.87987135803695,21.003292648821358,320.1148506716788,305.55131087940725,166.04598214673211,129.5111196894585,152.42915320015243,38.98009891888107,209.52962629607595,5.13,99.8788733067389,167.97652102048966,75.8918028013313,178.23572529303337,292.3742910910809,252.57396471486476,15.66283771346852,514.2945649325156,143.25435771815242,188.1310764673536,280.6039194427861,8.518713166600524,143.39804450214112,79.59396408504357
2023-12-15 10:00:00,94.79286113465952,247.9386387789983,28.44151694461632,336.0722042227505,315.3466596110648,165.98974535794477,250.54035830313796,151.29263293835615,47.83864151479651,243.22557160977604,5.13,132.90873189436374,167.7570281652616,69.3735383604278,184.42740745647697,298.75644686667624,259.1300732636353,15.546220034738957,526.2315229111896,303.52709522095745,191.70826242444983,284.2139759427024,8.48325059082929,161.50778336748695,83.35868532199216
2023-12-15 11:00:00,103.6617015457286,252.6422181663341,39.47565827030007,342.83188515641376,326.4235634316286,163.44489620399764,313.1167659245139,152.94964234494205,62.7363466328048,244.07512317031455,5.13,153.31984939014777,174.01719831187037,68.89950561750985,192.70376179243797,292.7416227514847,264.3118960795744,15.78755965947357,535.1316478840209,406.1498752219463,196.2664021918224,282.5647504924145,8.398608678802534,168.27253031615132,86.14037200361696
2023-12-15 12:00:00,108.74913994265152,253.1574603062912,51.54020063469669,341.74826775768986,325.22854293555395,164.95837185960465,326.3890338656877,151.92168264313622,74.68852975587714,246.68565182273883,5.13,170.23450970396408,158.3905634140967,64.16039296884396,196.81045271595133,297.0016813604564,269.9326392396378,15.784346248776757,537.9665279235675,419.899592762617,197.9910873646952,280.8414169479421,8.413628274238087,164.96866845517047,88.89664196494216
2023-12-15 13:00:00,112.18944200593276,253.55797794486296,54.32573554967752,340.7416110500397,325.8543585158504,158.85106771193668,323.2983991721659,151.8271422980253,81.39751943827311,217.35273448958907,5.13,164.2523475706546,147.65852316111113,67.02504162710223,193.29562545579,298.77176083534374,273.3053893265957,15.780798978661162,535.0354754692123,437.5492914049216,194.08441719832007,282.9713886969734,8.224027910687537,153.61983148298083,85.71011749259112
2023-12-15 14:00:00,104.24255325331283,247.66069151571304,33.301851227832465,337.7530495598122,316.1703390331075,153.26787176493568,325.57282136920554,153.8926918331699,81.27069730627704,187.1844566030576,5.13,133.4490218982937,129.02611617410528,69.30513706061464,192.1371256350988,296.94807846933696,272.3023840825955,15.746024071813997,528.8531262899916,475.86192681500455,191.5357760451261,281.8980414731297,8.426512465897094,156.02691556407882,81.38077636640617
2023-12-15 15:00:00,114.79471133875404,243.3740900283066,27.87442966310708,321.6865212825105,301.54930805815525,151.6276729618764,327.18827962798383,155.36508717733267,73.471804889386,162.7466176852274,5.13,101.71578025700136,114.67044496308144,65.84744628040957,183.2945440337406,281.1276624919832,264.1663038421598,15.718097033093189,523.5245368808525,405.8270879493594,192.31531003599457,274.71591357309177,8.888718734736585,141.172369364933,74.8864147826968
2023-12-15 16:00:00,92.3493230150092,241.6931726426942,20.73966870537568,322.0231597073353,300.58591056688886,153.5105234988102,278.67618588784273,159.06113403246454,56.3763850845308,158.93149805428527,5.13,81.84729876329564,121.619056778104,71.09747948233047,183.8239131208745,283.7811396669697,267.012266809082,15.788904050678616,522.3948989714277,303.71448192990704,193.25899239283777,278.9439649634526,8.861450470706343,137.0151821497642,72.5122731454338
2023-12-15 17:00:00,78.96427608351115,236.80150742169675,19.16302493795245,309.3854709643076,307.0708346016319,164.83575334523076,143.22640035068568,159.49786483543892,39.9834365060982,159.63921100754197,5.13,77.86469948068945,145.49850435234427,69.29237448935545,178.10144100019974,290.21379889742815,271.1814329381264,15.987706052025628,522.2727779129494,125.0041697428879,186.0204257618072,285.821124101821,9.572048257650351,136.0334595824455,72.00919087681692
2023-12-15 18:00:00,81.50111896838348,233.19616267938216,19.507572012283266,312.59979115085633,301.2962137315965,179.57575141806552,85.69316162169352,160.353125560213,32.169815777937586,156.9294096045424,5.13,82.81674594197432,185.14725049017596,64.62633860050173,184.5944381245815,288.2634695264669,276.2910315581266,15.92071025500756,527.6295201581403,92.03185306034536,189.88023486776177,284.6993282208206,10.04223187976258,136.21241551520023,71.09949492311443
2023-12-15 19:00:00,80.6213448453079,246.0427114078975,21.064594170318927,312.68275285164293,304.22845788474774,196.09390055283015,82.01005116643778,162.82533518355,32.12121153701785,157.44399742115002,15.827826086956522,85.21418321635394,167.4992898209433,81.78105106091067,184.78281751072132,319.8879489685359,288.44143025162526,15.87819098115895,536.4475978504936,91.47351374232365,196.4343605260908,284.67669909674817,10.426680639813984,140.02819226374532,74.33462360061294
2023-12-15 20:00:00,79.58251583587749,255.20720115399345,23.05370103971131,318.5680865925414,298.4473056792342,194.65999823640303,80.55774982546073,160.92643623631176,32.57210863949931,169.41893492370684,5.13,91.0970504596518,194.7994262913381,82.57112342700015,187.68923331192704,318.51452210621403,301.2817938048601,15.807848965881274,544.6972572325716,99.13780497027162,195.9693716518109,278.34946520092666,10.7589254614928,123.84204264739932,78.682382841116
2023-12-15 21:00:00,85.02780485158274,258.34176118288786,23.89436381093174,318.0642012044319,290.4058840554632,218.7051518667942,82.17080829618112,158.03013121737442,32.77538861925111,172.90560059910806,5.13,96.91483775218126,412.0512557051516,76.52758646783144,209.56928636500916,367.5171312393186,320.4556331226405,15.590729188946918,548.9636962235559,112.41278625803768,202.1897842847789,286.68505436529773,11.707629871571124,123.87009553529684,87.1315443882763
2023-12-15 22:00:00,83.61795326897628,262.1342019627093,24.57444001207565,323.7546722868375,278.4399515143685,247.50545213043048,87.71805583639905,158.2154147103861,33.31492933501301,169.83802915184376,5.13,105.21901798290467,398.0492664283377,89.89186898317091,227.22396765311336,427.5519498584338,326.59495817298426,15.720313365657669,555.5938894821873,123.7835817100948,207.59106650794865,292.9562725255597,12.725858696256813,107.98810655304578,78.83540448396879
